passengerId|Longest Run
496|1
463|2
471|6
833|15
1088|6
1238|6
1342|15
1580|6
1591|10
1645|8
1829|11
1959|3
2142|5
2122|9
2659|4
3175|13
3749|8
3794|11
3997|9
3918|6
4101|5
4519|1
4900|7
4818|8
4935|1
5156|6
5300|2
5518|11
5803|8
6397|3
6336|8
6357|12
6466|3
6620|1
6658|11
6654|3
7253|14
7240|8
7340|6
7554|3
7754|13
7880|3
7833|13
7993|2
7982|3
8086|3
8389|8
2366|1
8592|7
8638|2
9376|14
9427|5
9465|10
9852|3
9900|3
10362|1
10623|2
148|8
10817|2
11033|5
11141|4
11317|3
11458|3
11748|2
11858|8
12046|5
12027|3
10206|5
12799|5
12940|10
13285|5
13289|4
13623|8
13840|5
13832|1
14450|1
14570|2
14832|1
15447|1
243|7
392|22
540|6
623|3
737|9
897|6
858|2
1025|18
1084|12
1127|2
1395|1
1483|5
1460|10
1522|5
1507|11
1721|5
1896|6
1990|7
2235|6
2580|6
2563|14
2999|1
3179|9
3226|14
3475|9
3698|10
4158|8
4190|15
4161|11
4219|6
4929|5
5614|5
6393|5
6623|1
6773|11
7168|3
7417|10
8105|15
8803|17
8928|5
8932|4
9182|8
9564|1
9879|5
10081|1
2811|8
10121|5
10462|4
2387|7
10703|8
10914|5
11280|12
11316|6
11500|1
11710|3
12006|5
12367|1
12471|2
10230|2
12626|1
12611|1
12715|1
13261|3
13622|3
14075|5
14148|1
14423|1
14465|3
14536|3
14514|3
14876|1
15100|1
15004|1
15003|1
15254|1
516|7
1143|19
1139|5
1270|6
1339|4
1352|14
1322|10
1303|11
1650|6
1699|8
1618|8
1903|12
2572|9
2776|19
2711|5
3000|6
2996|11
3213|2
3352|2
3488|9
3704|3
3761|3
4391|18
4489|7
5071|7
5117|7
5173|2
5287|10
5345|10
5984|14
6266|4
6482|5
6559|3
6622|12
6825|11
7281|1
7387|8
7850|12
7879|7
8222|12
8257|11
8407|3
8924|5
9162|1
9383|12
9454|6
9558|1
9517|12
2821|3
10708|6
10798|10
10862|8
11025|7
11393|5
11639|5
11800|3
11936|1
12139|2
12393|1
12998|1
13009|3
13060|2
13207|1
13483|4
13648|4
13601|3
13875|2
13910|4
14289|2
14377|1
14324|1
14420|1
14714|3
14837|1
14997|1
15173|4
15162|2
15296|1
15207|3
251|4
451|15
580|6
808|2
1265|15
1884|12
1975|11
2231|19
2259|11
2443|16
2488|17
2525|7
2748|3
2721|5
2923|3
3098|4
3089|9
3220|14
3490|11
3796|5
3876|10
3986|4
4042|13
4078|10
4186|3
4239|8
4364|18
4684|6
4937|4
5074|12
5155|6
5223|5
5308|6
5482|14
6361|4
6598|7
6597|3
7066|6
7098|11
7120|12
7530|7
7644|5
7910|6
8109|8
8650|6
8911|4
9071|1
9169|1
8743|5
9946|5
10468|5
10745|3
10768|4
11146|4
11630|2
11713|4
12292|2
12366|1
13188|2
13465|1
13508|2
13898|6
13916|5
137|6
14315|1
14809|1
14958|1
15382|1
458|5
883|7
879|9
1223|17
1977|11
2249|10
2656|13
2622|1
2655|9
2924|5
3377|2
3425|3
3561|8
3566|7
3834|1
3913|16
4000|13
4294|11
2833|3
4307|15
4383|5
2392|10
4957|9
5157|8
5217|8
5433|6
5513|11
5578|6
5695|8
5697|6
5682|8
5740|15
5907|7
6154|12
6301|4
6500|2
6934|2
6962|9
7152|1
7324|6
7333|3
7576|6
7661|13
8211|10
8501|11
8577|6
8678|5
8665|4
9153|3
9206|8
8716|3
9403|8
9597|2
9647|2
9775|6
10032|5
10395|8
10567|4
10527|4
10632|7
10788|5
10815|5
10840|2
11352|7
11482|1
11520|3
11745|7
11928|1
12249|1
12210|9
12284|6
12322|1
2096|2
12607|3
13225|2
13398|5
13329|6
13504|4
13795|4
13765|3
13923|3
65|1
14660|2
14779|3
14752|3
14770|3
14713|4
14944|1
15292|1
15429|1
255|13
481|10
588|9
799|6
804|6
898|8
970|14
1157|10
2156|11
2247|12
2559|11
2914|8
3042|2
3028|7
3105|10
3631|16
3790|1
4092|19
4357|7
4477|4
53|11
2802|13
5110|3
5527|3
5847|6
5995|10
6176|10
6396|8
6552|3
6722|6
6866|10
6864|14
6832|9
6890|8
6937|9
7109|3
7404|1
7567|5
7584|7
7810|20
7892|6
7987|9
8229|9
9181|1
9344|3
9575|7
9675|6
9914|6
10090|1
2027|3
10416|4
10597|10
10786|8
11143|8
11243|6
12184|7
10257|2
12264|2
12207|1
12694|3
13468|4
13500|1
10264|5
13997|6
14054|1
14124|1
14365|1
14458|1
14846|1
14874|1
15026|1
15070|4
15146|4
15221|1
15462|1
296|9
472|3
853|11
1466|10
1787|6
1766|9
1718|6
1888|14
2238|10
2542|5
3062|1
3242|13
3306|5
3691|8
4097|16
4291|8
4396|8
4583|8
4612|9
4799|5
4838|9
4859|3
5100|10
5061|3
5140|2
5178|5
5670|3
5929|4
6010|11
6376|4
6557|1
7206|3
7222|6
7736|2
8249|7
8482|6
8409|5
8450|11
2874|4
8534|5
8640|2
8612|2
8857|5
8927|11
8950|4
2035|12
9338|5
9475|3
9721|12
10013|4
10128|15
10605|6
10611|2
10882|4
11014|7
11287|3
11402|1
11459|1
11487|1
11550|4
12260|2
12530|9
12717|7
13313|2
13544|2
14030|2
14284|2
14245|2
14477|1
14812|1
15216|1
133|2
322|3
513|7
918|10
1016|12
1005|17
1133|9
1808|11
3577|6
3657|17
3703|10
4167|8
4531|8
4697|5
4624|6
2848|6
5030|9
5211|5
5457|7
5692|10
5867|25
5920|11
5949|7
6082|5
6142|5
6378|3
6678|10
6911|6
7283|1
7912|2
8051|7
8146|11
8145|6
8231|5
8664|13
8627|4
8845|9
9018|4
9258|12
9433|8
9470|7
9731|3
9867|11
9925|3
10183|1
10143|7
10366|1
10443|4
10558|4
10532|2
10530|8
10947|1
11024|3
11194|12
10267|14
11894|3
12118|2
12238|1
12344|2
12559|5
12723|3
12757|3
12727|7
13701|1
2396|4
78|2
14532|2
14556|1
14760|4
14771|5
15161|3
15157|3
15348|1
321|7
362|18
613|19
673|9
633|13
857|11
974|6
961|10
1160|8
1533|12
2479|15
2564|5
2625|17
2971|4
3087|8
3149|16
4061|9
4119|2
4126|5
4259|4
4512|6
4725|4
5222|5
5251|7
5427|7
5543|6
5529|12
5934|11
6145|7
6108|4
6237|8
6939|7
7169|3
7131|7
7817|5
8042|7
8085|7
8628|2
9035|11
9324|8
9488|2
9898|8
10022|9
10195|1
10303|6
10435|13
10912|1
11405|1
11468|1
12085|7
12315|1
12401|5
12436|8
12523|2
13022|1
13214|2
13528|5
14058|3
14437|1
15091|1
15164|2
15270|1
375|17
597|5
593|4
876|9
976|1
1199|4
1212|11
1468|15
1417|13
1653|4
1743|4
2173|11
2513|8
2797|12
3441|5
3601|10
4182|13
4401|8
4474|5
4713|11
4798|12
4782|9
4762|2
4796|10
4923|4
5298|4
5235|7
5383|10
5375|12
5571|12
5916|6
6157|5
6188|7
6689|9
6732|6
6913|1
7092|2
7132|3
7342|10
7726|12
8350|14
9006|8
9730|2
9968|9
11452|3
11478|12
11589|2
11642|6
11609|4
11885|11
11954|10
12007|3
12008|4
12014|8
12169|6
12336|2
13046|5
13003|2
13172|2
13288|5
13494|4
13516|3
13915|2
13967|2
14085|1
2835|3
14658|3
15191|3
15491|1
683|14
744|6
950|18
1331|4
1561|13
1525|8
1700|11
1863|12
2294|15
2606|3
2739|4
3124|9
3436|18
3431|7
3661|8
3844|9
3843|5
4418|9
4452|3
4773|4
5605|7
5771|15
5827|5
5962|11
6213|4
6754|4
7218|6
7202|5
7359|2
7497|7
7481|6
7571|10
7865|4
8003|13
8458|1
8423|3
8935|4
9097|11
9405|6
9492|3
9435|6
9640|6
10162|8
10715|2
10898|2
11059|10
11121|6
11327|7
11911|7
12182|5
12384|3
108|4
12542|9
12943|1
13720|2
13751|4
13994|2
14064|2
14332|1
14589|1
14801|1
15093|1
15202|1
15497|1
15470|1
211|23
368|20
530|4
642|3
796|11
1068|4
1198|16
1344|6
1404|12
1537|11
1675|5
1924|3
2200|8
2225|12
2663|6
3152|15
3235|12
4172|5
4132|4
4263|6
4321|12
4517|2
5038|9
5367|8
5417|10
6005|4
6124|2
6204|3
6639|3
7103|3
7499|10
7562|7
7587|3
7647|4
8011|5
8172|8
8354|1
8396|6
8464|6
8429|4
8961|26
9209|6
9562|11
9641|4
10168|9
10334|13
10371|12
11057|9
11183|9
11346|2
11333|3
11450|15
11578|7
11627|8
11835|5
11897|8
11876|9
11909|8
11941|1
12080|5
12179|2
10241|6
12355|7
12494|2
12566|3
12796|1
12755|3
12782|4
12854|1
12837|1
13066|1
13170|2
13368|1
13594|7
14336|1
14715|4
193|1
14935|1
756|13
772|15
1165|5
1183|11
1378|17
1500|9
1745|3
1823|7
2261|10
2771|2
2907|1
3043|11
3198|9
4181|9
4153|11
4415|7
126|11
4683|8
101|1
4865|6
4992|3
4917|15
5597|6
5926|6
5918|6
6056|11
6419|4
6737|9
6933|1
7173|1
7118|17
7602|12
7744|9
8442|3
8536|6
8689|7
8887|8
9957|8
10018|6
10180|9
10626|6
2342|3
11119|6
11106|4
11174|4
11708|2
11808|14
8776|1
2003|3
12127|4
12267|1
12362|3
13220|6
13377|1
13782|1
13745|5
13830|6
13903|6
13960|5
14044|6
14101|2
14410|1
14501|3
14703|3
14999|1
15130|4
15116|2
15479|1
385|11
874|10
830|6
847|7
939|9
1259|2
1226|6
1869|3
2212|17
2484|10
2662|9
3008|1
3026|2
3313|2
3538|8
3611|13
3936|6
4088|9
4169|4
4293|18
4637|9
4896|13
5055|16
5151|4
5254|2
5452|4
5490|20
5447|13
5585|5
5699|8
5785|4
6460|10
6664|6
6741|11
6953|10
7048|4
7331|10
7533|14
7550|6
7666|8
7604|6
7649|5
8001|8
8243|6
8352|4
8325|2
8412|1
8681|4
8698|7
8654|5
8977|7
9293|5
9255|7
9217|11
9416|5
10096|1
10422|8
10587|3
10727|10
10994|3
11072|7
11234|4
11286|3
11541|3
11672|3
11912|2
12287|1
12328|6
12447|4
13054|3
13027|3
13109|2
13726|2
13904|3
2007|4
14180|1
14402|1
14555|1
14525|2
14554|3
14558|3
15060|1
15253|1
15398|1
210|15
436|2
1031|9
1175|4
1201|11
1426|6
1441|3
1496|3
1892|5
2180|10
2209|7
2463|8
2522|13
2683|12
3234|9
3445|12
3685|6
3841|1
4208|9
4326|8
4443|4
2079|10
28|5
4918|3
4958|1
5152|6
5961|6
5981|9
5936|5
6095|8
6319|7
7188|6
7325|6
7460|5
7599|5
7522|2
7613|8
7800|9
7818|10
7935|4
8116|10
8478|2
2313|6
8514|12
8827|8
8976|8
8999|6
9207|4
9384|6
9450|3
9441|21
9714|11
9781|8
9926|8
10011|4
10075|7
10345|6
10414|6
10502|6
10651|8
10979|6
11103|4
11237|3
11467|1
11558|3
11571|8
11838|4
12055|2
12030|4
12077|4
10234|7
12961|1
13045|7
13195|9
13665|4
13775|4
14056|5
10295|1
14160|1
14117|1
14283|1
14367|4
183|4
14642|4
14687|1
14733|5
14776|3
14814|1
15096|4
15234|1
497|9
596|4
762|6
1051|6
1243|7
1274|9
1296|9
1415|3
1510|5
1621|1
2583|3
2905|13
3485|6
3650|14
3885|8
4083|11
4155|1
4230|6
4424|9
4482|9
4826|2
4829|5
2842|6
5119|7
5592|15
6068|5
6342|7
6667|4
6855|11
7147|9
7306|6
7531|5
7501|4
8090|2
8123|6
8395|2
2018|7
8410|5
8500|2
8622|1
8877|7
9081|2
10015|13
10058|7
10186|6
10449|10
10506|5
10580|3
10680|4
11124|4
11422|9
11496|8
11693|1
11946|8
12269|1
12286|7
12373|8
12453|2
12548|2
12885|1
12913|2
12948|7
13166|4
13104|3
2355|2
13371|2
13415|2
13676|3
13738|2
13836|2
13873|2
14141|1
14177|1
14302|1
14647|3
15105|2
300|13
406|4
412|8
787|7
784|7
842|2
1064|14
1034|14
1030|10
1156|12
1163|13
1489|6
1772|12
1752|10
1826|13
1974|16
2682|4
2778|9
2945|8
2962|3
3151|11
3582|9
3706|10
4107|3
4848|3
5188|3
5337|6
5552|5
5845|1
5880|1
5895|9
5884|1
5930|8
6152|8
6476|2
6695|5
6820|7
7184|3
7594|6
7539|8
7796|6
8008|3
8126|5
8127|9
8132|15
8809|2
8915|4
8986|9
9113|2
9434|4
11125|4
11201|9
11636|6
11694|9
12057|5
12102|2
12191|3
12117|3
12725|5
12711|4
12914|1
13052|5
13139|2
2349|2
14455|1
14419|1
14496|2
15062|1
15024|1
15138|3
15219|1
15242|1
15260|1
15262|1
15332|1
15404|1
587|8
731|10
988|8
1276|19
1307|3
1574|8
1708|4
2240|5
2697|11
2752|10
3296|7
3403|9
3626|11
3624|12
3795|1
4229|5
2094|1
4858|6
4843|7
4925|10
5028|7
5663|4
5691|7
5854|11
6288|4
6300|2
7088|6
7237|6
7634|9
7838|7
8036|14
8210|6
9029|1
9387|5
9366|14
9443|9
9538|6
9669|6
9687|12
9909|4
10043|6
10020|3
10177|7
10354|9
10866|1
11041|11
11081|6
11334|7
11494|1
11841|7
11883|9
12582|10
12597|2
12511|4
12705|5
12859|5
12865|1
12868|6
12926|3
13301|1
13523|1
13847|4
13946|6
14062|1
14192|1
2015|2
14318|1
15073|1
15071|4
15132|2
15263|1
15370|1
15426|1
667|3
688|13
723|5
914|3
1372|5
1480|3
1889|7
1871|9
1816|9
2467|20
2526|9
2678|13
2758|17
3013|1
3127|11
3166|6
3252|1
3264|5
3359|6
3346|9
3435|11
3595|12
3725|6
3941|11
4197|4
4256|5
4695|10
4700|17
2032|10
5006|6
5040|3
5562|4
5505|12
5651|4
5642|4
5756|6
5965|5
6705|7
6863|7
7242|7
7321|14
7351|3
8006|15
8130|8
8247|4
8417|2
8608|1
8902|6
9161|1
8747|7
9551|7
9700|15
9771|6
10445|4
10544|4
10654|7
10640|14
10739|8
10861|2
10910|11
11170|5
11213|8
11204|1
11241|3
11406|1
11686|5
11868|9
12187|2
12575|2
12555|8
12601|3
13051|3
13081|1
13040|1
13416|8
14140|1
14274|1
14644|4
14720|5
14783|3
76|2
332|10
501|9
577|6
626|4
1235|2
1493|12
